"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.228597741E2,6.505783722E1,2.547423115E1,1.806257348E1,8.490893616E-1,1.087308438E2,4.663555337E0,3.475023547E0
1.238597662E2,6.505784847E1,2.547426488E1,1.808491936E1,6.482258390E-1,9.157099264E1,4.672564948E0,3.462899628E0
1.248597590E2,6.505785624E1,2.547429774E1,1.851998099E1,5.300229089E-1,8.494430726E1,4.676322401E0,3.457823858E0
1.258597518E2,6.505785812E1,2.547433199E1,1.851821204E1,7.175849444E-1,8.705256854E1,4.686769936E0,3.443649896E0
1.268597451E2,6.505786117E1,2.547436828E1,1.877226205E1,1.023938475E0,8.685182998E1,4.681229655E0,3.451177473E0
1.278597374E2,6.505786274E1,2.547439250E1,1.875901655E1,9.442736018E-1,8.866589832E1,4.679760495E0,3.453169377E0
1.288597308E2,6.505786665E1,2.547441914E1,1.883095831E1,9.515795167E-1,8.937705262E1,4.679744417E0,3.453191165E0
1.298597234E2,6.505786744E1,2.547444590E1,1.899125176E1,1.060555817E0,9.381747285E1,4.678567715E0,3.454785256E0
1.308597226E2,6.505787516E1,2.547446970E1,1.909156593E1,9.042315579E-1,9.068892681E1,4.675095702E0,3.459482217E0
1.318597090E2,6.505788492E1,2.547450490E1,1.933216233E1,1.048724234E0,8.331544465E1,4.668861326E0,3.467891427E0
1.328597023E2,6.505789564E1,2.547453823E1,1.944639653E1,1.173090832E0,7.794063541E1,4.666834059E0,3.470619094E0
1.338596958E2,6.505790191E1,2.547456598E1,1.963068626E1,1.085236122E0,7.785250710E1,4.663561991E0,3.475014617E0
1.348596876E2,6.505790614E1,2.547459809E1,1.951222218E1,1.135215907E0,8.187608271E1,4.660456434E0,3.479178475E0
1.358596807E2,6.505790586E1,2.547461038E1,1.945440522E1,7.960123234E-1,9.037298603E1,4.661337041E0,3.477998566E0
1.368596735E2,6.505790980E1,2.547464209E1,1.955621405E1,9.541511955E-1,8.596398255E1,4.662559205E0,3.476359978E0
1.378596666E2,6.505790882E1,2.547466577E1,1.937800937E1,1.017834847E0,8.922237024E1,4.665674364E0,3.472177957E0
1.388596606E2,6.505790742E1,2.547470073E1,1.942520887E1,1.231133486E0,9.290378538E1,4.665002125E0,3.473081083E0
1.398596517E2,6.505790818E1,2.547472679E1,1.962611906E1,1.247225345E0,9.179052085E1,4.675120237E0,3.459449060E0
1.408596455E2,6.505790698E1,2.547474753E1,2.034405054E1,1.062306147E0,9.267946346E1,4.679836224E0,3.453066746E0
1.418596382E2,6.505790392E1,2.547476844E1,2.030052035E1,1.030460441E0,9.778398890E1,4.692637940E0,3.435649312E0
1.428596302E2,6.505790243E1,2.547479948E1,2.086302092E1,1.253741148E0,9.745698958E1,4.701252206E0,3.423852323E0
1.438596237E2,6.505790407E1,2.547483004E1,2.098369495E1,1.351578721E0,9.320391457E1,4.708024293E0,3.414534271E0
1.448596175E2,6.505790022E1,2.547485137E1,2.066683452E1,1.185012630E0,9.753732833E1,4.719837322E0,3.398186676E0
1.458596098E2,6.505789421E1,2.547487618E1,2.079576313E1,1.046886182E0,1.034996826E2,4.736336937E0,3.375151767E0
1.468596021E2,6.505789972E1,2.547490244E1,2.070001083E1,9.793136702E-1,8.766952697E1,4.755736596E0,3.347761410E0
1.478595947E2,6.505789738E1,2.547491007E1,2.081768612E1,7.075620067E-1,9.047408662E1,4.770175013E0,3.327156049E0
1.488595879E2,6.505789678E1,2.547494448E1,2.080382215E1,9.725127723E-1,9.041934195E1,4.786784707E0,3.303214980E0
1.498595806E2,6.505788892E1,2.547495936E1,2.065555558E1,8.176528542E-1,1.002170871E2,4.794364653E0,3.292203610E0
1.508595730E2,6.505787883E1,2.547498039E1,2.044634888E1,8.407901933E-1,1.132435574E2,4.796316309E0,3.289359648E0
1.518595659E2,6.505787398E1,2.547500353E1,2.043958632E1,9.665223430E-1,1.114575682E2,4.798162189E0,3.286666493E0
1.528595583E2,6.505786288E1,2.547501245E1,1.936227215E1,9.115720644E-1,1.226919701E2,4.785663129E0,3.304839701E0
1.538595513E2,6.505785525E1,2.547502508E1,1.899128662E1,9.166434857E-1,1.247405773E2,4.785260199E0,3.305423098E0
1.548595446E2,6.505785792E1,2.547505180E1,1.866129970E1,9.219168082E-1,1.112780967E2,4.777237156E0,3.317008018E0
1.558595375E2,6.505785800E1,2.547508866E1,1.800259803E1,1.055717076E0,1.041667970E2,4.775998846E0,3.318790752E0
1.568595306E2,6.505786032E1,2.547512675E1,1.802432384E1,1.129366075E0,1.000770659E2,4.769760001E0,3.327750976E0
