"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.667008667E0,1.876849367E0,1.098288363E0,1.087736185E0
3.677055667E0,2.083468918E0,1.083449299E0,1.162233806E0
3.687102667E0,2.130789849E0,8.902251345E-1,1.132420900E0
3.697148667E0,1.971972456E0,5.771751487E-1,9.212606934E-1
3.707195667E0,1.677863209E0,1.785149091E-1,6.589399812E-1
3.717242667E0,1.310361320E0,-6.224770367E-2,3.390703878E-1
3.727289667E0,9.588471803E-1,-9.025294304E-2,2.958135635E-2
3.737336667E0,7.501615155E-1,-1.524655634E-1,-1.177772489E-1
3.747382667E0,5.114941062E-1,-3.084511507E-1,-2.404176271E-1
3.757429667E0,3.311001943E-1,-4.667738700E-1,-2.935848972E-1
3.767476667E0,3.019016844E-1,-6.764836746E-1,-4.376380715E-1
3.777523667E0,3.411318602E-1,-8.192463684E-1,-4.471947607E-1
3.787570667E0,3.863901499E-1,-8.593483275E-1,-3.746799311E-1
3.797616667E0,4.551640771E-1,-8.463856351E-1,-4.133589703E-1
3.807663667E0,5.182694943E-1,-9.256434739E-1,-3.986722264E-1
3.817710667E0,5.157474440E-1,-1.023944525E0,-3.357149631E-1
3.827757667E0,5.386315091E-1,-1.058157753E0,-3.138098314E-1
3.837804667E0,5.593025494E-1,-1.096725402E0,-2.188761923E-1
